Date,DateGroup,Open,High,Low,Close,Adj Close,Volume,CloseRate_to_PreviousDay,Bull_Bear
2024/5/2,202405,84.448997,86.237,83.199997,85.817001,85.809952,377898000,-0.0335 ,0
2024/5/3,202405,87.789001,89.280998,87.040001,88.789001,88.781708,398341000,-0.0364 ,0
2024/5/6,202405,89.389999,92.220001,89.055,92.139999,92.132431,376203000,0.0175 ,4
2024/5/7,202405,91.098,91.780998,89.011002,90.554001,90.546562,437342000,0.0016 ,3
2024/5/8,202405,89.483002,91.194,89.419998,90.412003,90.404579,325721000,0.0188 ,4
2024/5/9,202405,90.528999,91.071999,88.231003,88.747002,88.739716,378013000,-0.0126 ,0
2024/5/10,202405,90.305,91.401001,89.226997,89.877998,89.870613,335325000,-0.0058 ,1
2024/5/13,202405,90.477997,90.998001,88.528999,90.399002,90.391579,289680000,-0.0105 ,0
2024/5/14,202405,89.598999,91.651001,88.933998,91.356003,91.348495,296507000,-0.0346 ,0
2024/5/15,202405,92.472,94.862,91.598999,94.629997,94.622223,417735000,0.0029 ,3
2024/5/16,202405,94.910004,95.819,94.102997,94.359001,94.35125,323952000,0.0203 ,4
2024/5/17,202405,94.369003,94.739998,91.806,92.478996,92.471397,359691000,-0.0243 ,0
2024/5/20,202405,93.75,95.199997,93.440002,94.779999,94.772217,318764000,-0.0064 ,1
2024/5/21,202405,93.598999,95.400002,93.18,95.386002,95.378166,328946000,0.0046 ,3
2024/5/22,202405,95.459,96.019997,93.249001,94.949997,94.9422,548648000,-0.0853 ,0
2024/5/23,202405,102.028,106.32,101.519997,103.799004,103.790482,835065000,-0.0251 ,0
2024/5/24,202405,104.448997,106.474998,103,106.469002,106.460258,429494000,-0.0652 ,0
2024/5/28,202405,110.244003,114.939003,109.883003,113.901001,113.891647,652728000,-0.0080 ,1
2024/5/29,202405,113.050003,115.491997,110.901001,114.824997,114.815567,557442000,0.0391 ,4
2024/5/30,202405,114.650002,115.819,109.663002,110.5,110.490921,487350000,0.0079 ,3
2024/5/31,202405,112.519997,112.717003,106.940002,109.633003,109.624001,613263000,-0.0467 ,0
2024/6/3,202406,113.621002,115,112.002998,115,114.990555,438392000,-0.0123 ,0
2024/6/4,202406,115.716003,116.599998,114.044998,116.436996,116.427429,403324000,-0.0490 ,0
2024/6/5,202406,118.371002,122.448997,117.468002,122.440002,122.429947,528402000,0.0119 ,4
2024/6/6,202406,124.047997,125.586998,118.32,120.998001,120.98806,664696000,0.0009 ,3
2024/6/7,202406,119.769997,121.692001,118.022003,120.888,120.878075,412386000,-0.0074 ,1
2024/6/10,202406,120.370003,123.099998,117.010002,121.790001,121.779999,314162700,0.0073 ,3
2024/6/11,202406,121.769997,122.870003,118.739998,120.910004,120.910004,222551200,-0.0343 ,0
2024/6/12,202406,123.059998,126.879997,122.57,125.199997,125.199997,299595000,-0.0340 ,0
2024/6/13,202406,129.389999,129.800003,127.160004,129.610001,129.610001,260704500,-0.0172 ,0
2024/6/14,202406,129.960007,132.839996,128.320007,131.880005,131.880005,309320400,0.0069 ,3
2024/6/17,202406,132.990005,133.729996,129.580002,130.979996,130.979996,288504400,-0.0339 ,0
2024/6/18,202406,131.139999,136.330002,130.690002,135.580002,135.580002,294335100,0.0367 ,4
2024/6/20,202406,139.800003,140.759995,129.520004,130.779999,130.779999,517768400,0.0333 ,4
2024/6/21,202406,127.120003,130.630005,124.300003,126.57,126.57,655484700,0.0716 ,4
2024/6/24,202406,123.239998,124.459999,118.040001,118.110001,118.110001,476060900,-0.0633 ,0
2024/6/25,202406,121.199997,126.5,119.32,126.089996,126.089996,425787500,-0.0025 ,1
2024/6/26,202406,126.129997,128.119995,122.599998,126.400002,126.400002,362975900,0.0194 ,4
2024/6/27,202406,124.099998,126.410004,122.919998,123.989998,123.989998,252571700,0.0036 ,3
2024/6/28,202406,124.580002,127.709999,122.75,123.540001,123.540001,315516700,-0.0061 ,1
2024/7/1,202407,123.470001,124.839996,118.830002,124.300003,124.300003,284885500,0.0133 ,4
2024/7/2,202407,121.129997,123.410004,121.029999,122.669998,122.669998,218374000,-0.0437 ,0
2024/7/3,202407,121.660004,128.279999,121.360001,128.279999,128.279999,215749000,0.0195 ,4
2024/7/5,202407,127.379997,128.850006,125.68,125.830002,125.830002,214176700,-0.0185 ,0
2024/7/8,202407,127.489998,130.770004,127.040001,128.199997,128.199997,237677300,-0.0242 ,0
2024/7/9,202407,130.350006,133.820007,128.649994,131.380005,131.380005,285366600,-0.0262 ,0
2024/7/10,202407,134.029999,135.100006,132.419998,134.910004,134.910004,248978600,0.0589 ,4
2024/7/11,202407,135.75,136.149994,127.050003,127.400002,127.400002,374782700,-0.0142 ,0
2024/7/12,202407,128.259995,131.919998,127.220001,129.240005,129.240005,252680500,0.0062 ,3
2024/7/15,202407,130.559998,131.389999,127.18,128.440002,128.440002,208326200,0.0165 ,4
2024/7/16,202407,128.440002,129.039993,124.580002,126.360001,126.360001,214769500,0.0709 ,4
2024/7/17,202407,121.349998,121.849998,116.720001,117.989998,117.989998,390086200,-0.0256 ,0
2024/7/18,202407,121.849998,122.400002,116.559998,121.089996,121.089996,320979500,0.0268 ,4
2024/7/19,202407,120.349998,121.599998,117.370003,117.93,117.93,217223800,-0.0454 ,0
2024/7/22,202407,120.349998,124.07,119.860001,123.540001,123.540001,258068900,0.0077 ,3
2024/7/23,202407,122.779999,124.690002,122.099998,122.589996,122.589996,173911000,0.0730 ,4
2024/7/24,202407,119.169998,119.949997,113.440002,114.25,114.25,327776900,0.0175 ,4
2024/7/25,202407,113.040001,116.629997,106.300003,112.279999,112.279999,460067000,-0.0069 ,1
2024/7/26,202407,116.190002,116.199997,111.580002,113.059998,113.059998,293399100,0.0132 ,4
2024/7/29,202407,113.690002,116.279999,111.300003,111.589996,111.589996,248152100,0.0758 ,4
2024/7/30,202407,111.519997,111.989998,102.540001,103.730003,103.730003,486833300,-0.1136 ,0
2024/7/31,202407,112.900002,118.339996,110.879997,117.019997,117.019997,473174200,0.0715 ,4
2024/8/1,202408,117.529999,120.160004,106.809998,109.209999,109.209999,523462300,0.0181 ,4
2024/8/2,202408,103.760002,108.720001,101.370003,107.269997,107.269997,482027500,0.0679 ,4
2024/8/5,202408,92.059998,103.410004,90.690002,100.449997,100.449997,552842400,-0.0365 ,0
2024/8/6,202408,103.839996,107.709999,100.550003,104.25,104.25,409012100,0.0540 ,4
2024/8/7,202408,107.809998,108.800003,98.690002,98.910004,98.910004,411440400,-0.0577 ,0
2024/8/8,202408,102,105.5,97.519997,104.970001,104.970001,391910000,0.0021 ,3
2024/8/9,202408,105.639999,106.599998,103.43,104.75,104.75,290844200,-0.0392 ,0
2024/8/12,202408,106.32,111.07,106.260002,109.019997,109.019997,325559900,-0.0613 ,0
2024/8/13,202408,112.440002,116.230003,111.580002,116.139999,116.139999,312646700,-0.0164 ,0
2024/8/14,202408,118.529999,118.599998,114.07,118.080002,118.080002,339246400,-0.0389 ,0
